
neutral, 2016-09-01T17:36:33
neutral, 2016-09-01T17:36:37
neutral, 2016-09-01T17:36:37
negative, 2016-09-01T17:36:39
neutral, 2016-09-01T17:36:40
neutral, 2016-09-01T17:36:42
positive, 2016-09-01T17:36:43
neutral, 2016-09-01T17:37:02
positive, 2016-09-01T17:37:06
neutral, 2016-09-01T17:37:07
neutral, 2016-09-01T17:37:08
positive, 2016-09-01T17:37:09
neutral, 2016-09-01T17:37:11
neutral, 2016-09-01T17:37:13
neutral, 2016-09-01T17:37:18
neutral, 2016-09-01T17:37:18
positive, 2016-09-01T17:37:20
positive, 2016-09-01T17:37:20
negative, 2016-09-01T17:37:28
positive, 2016-09-01T17:37:29
positive, 2016-09-01T17:37:29
neutral, 2016-09-01T17:37:30
neutral, 2016-09-01T17:37:31
neutral, 2016-09-01T17:37:33
positive, 2016-09-01T17:37:34
positive, 2016-09-01T17:37:34
neutral, 2016-09-01T17:37:34
negative, 2016-09-01T17:37:39
positive, 2016-09-01T17:37:41
positive, 2016-09-01T17:37:44
negative, 2016-09-01T17:37:56
neutral, 2016-09-01T17:37:57
positive, 2016-09-01T17:38:01
neutral, 2016-09-01T17:38:02
neutral, 2016-09-01T17:38:04
neutral, 2016-09-01T17:38:04
neutral, 2016-09-01T17:38:05
neutral, 2016-09-01T17:38:05
positive, 2016-09-01T17:38:06
positive, 2016-09-01T17:38:14
negative, 2016-09-01T17:38:15
neutral, 2016-09-01T17:38:18
neutral, 2016-09-01T17:38:21
neutral, 2016-09-01T17:38:29
neutral, 2016-09-01T17:38:34
neutral, 2016-09-01T17:38:37
neutral, 2016-09-01T17:38:39
neutral, 2016-09-01T17:38:44
positive, 2016-09-01T17:38:51
neutral, 2016-09-01T17:38:52
positive, 2016-09-01T17:38:53
neutral, 2016-09-01T17:38:53
neutral, 2016-09-01T17:38:55
positive, 2016-09-01T17:38:58
neutral, 2016-09-01T17:39:00
neutral, 2016-09-01T17:39:00
neutral, 2016-09-01T17:39:03
neutral, 2016-09-01T17:39:07
positive, 2016-09-01T17:39:08
neutral, 2016-09-01T17:39:11
positive, 2016-09-01T17:39:12
neutral, 2016-09-01T17:39:17
positive, 2016-09-01T17:39:18
neutral, 2016-09-01T17:39:18
positive, 2016-09-01T17:39:21
neutral, 2016-09-01T17:39:21
positive, 2016-09-01T17:39:22
positive, 2016-09-01T17:39:26
positive, 2016-09-01T17:39:26
positive, 2016-09-01T17:39:27
positive, 2016-09-01T17:39:28
positive, 2016-09-01T17:39:29
neutral, 2016-09-01T17:39:30
positive, 2016-09-01T17:39:30
positive, 2016-09-01T17:39:36
positive, 2016-09-01T17:39:40
positive, 2016-09-01T17:39:42
negative, 2016-09-01T17:39:44
positive, 2016-09-01T17:39:46
negative, 2016-09-01T17:39:52
positive, 2016-09-01T17:39:53
positive, 2016-09-01T17:39:53
neutral, 2016-09-01T17:39:54
positive, 2016-09-01T17:40:08
neutral, 2016-09-01T17:40:12
positive, 2016-09-01T17:40:13
positive, 2016-09-01T17:40:16
neutral, 2016-09-01T17:40:19
neutral, 2016-09-01T17:40:28
neutral, 2016-09-01T17:40:29
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:31
positive, 2016-09-01T17:40:33
neutral, 2016-09-01T17:40:37
positive, 2016-09-01T17:40:37
neutral, 2016-09-01T17:40:38
negative, 2016-09-01T17:40:38
neutral, 2016-09-01T17:40:43
neutral, 2016-09-01T17:40:46
positive, 2016-09-01T17:40:46
neutral, 2016-09-01T17:40:48
positive, 2016-09-01T17:40:50
neutral, 2016-09-01T17:40:51
positive, 2016-09-01T17:40:57
neutral, 2016-09-01T17:41:00
positive, 2016-09-01T17:41:02
positive, 2016-09-01T17:41:11
neutral, 2016-09-01T17:41:13
positive, 2016-09-01T17:41:16
positive, 2016-09-01T17:41:17
neutral, 2016-09-01T17:41:20
neutral, 2016-09-01T17:41:20
positive, 2016-09-01T17:41:21
neutral, 2016-09-01T17:41:21
neutral, 2016-09-01T17:41:28
neutral, 2016-09-01T17:41:33
positive, 2016-09-01T17:41:33
neutral, 2016-09-01T17:41:37
negative, 2016-09-01T17:41:52
neutral, 2016-09-01T17:41:59
neutral, 2016-09-01T17:42:00
positive, 2016-09-01T17:42:00
neutral, 2016-09-01T17:42:02
neutral, 2016-09-01T17:42:05
neutral, 2016-09-01T17:42:07
neutral, 2016-09-01T17:42:08
neutral, 2016-09-01T17:42:16
neutral, 2016-09-01T17:42:23
neutral, 2016-09-01T17:42:40
neutral, 2016-09-01T17:42:43
positive, 2016-09-01T17:42:47
neutral, 2016-09-01T17:42:50
neutral, 2016-09-01T17:42:54
positive, 2016-09-01T17:42:55
positive, 2016-09-01T17:43:00
positive, 2016-09-01T17:43:01
positive, 2016-09-01T17:43:01
positive, 2016-09-01T17:43:01
positive, 2016-09-01T17:43:03
positive, 2016-09-01T17:43:04
neutral, 2016-09-01T17:43:07
positive, 2016-09-01T17:43:12
neutral, 2016-09-01T17:43:12
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:13
neutral, 2016-09-01T17:43:14
negative, 2016-09-01T17:43:14
neutral, 2016-09-01T17:43:14
neutral, 2016-09-01T17:43:15
positive, 2016-09-01T17:43:15
neutral, 2016-09-01T17:43:15
positive, 2016-09-01T17:43:16
neutral, 2016-09-01T17:43:22
neutral, 2016-09-01T17:43:23
neutral, 2016-09-01T17:43:30
neutral, 2016-09-01T17:43:33
positive, 2016-09-01T17:43:41
positive, 2016-09-01T17:43:43
positive, 2016-09-01T17:43:44
positive, 2016-09-01T17:43:44
positive, 2016-09-01T17:43:50
neutral, 2016-09-01T17:43:54
positive, 2016-09-01T17:43:55
neutral, 2016-09-01T17:43:56
neutral, 2016-09-01T17:43:58
negative, 2016-09-01T17:44:00
neutral, 2016-09-01T17:44:05
positive, 2016-09-01T17:44:06
